cname,Teff_reso_bay,Teff_err_reso_bay,logg_reso_bay,logg_err_reso_bay,feh_reso_bay,feh_err_reso_bay,mgfe_reso_bay,mgfe_err_reso_bay,tife_reso_bay,tife_err_reso_bay,mnfe_reso_bay,mnfe_err_reso_bay,mass_wa_bay,mass_err_wa_bay,lum_wa_bay,lum_err_wa_bay,ges_field,GAL_R,GAL_Z,GAL_L,GAL_B,V_R,V_R_ERR,V_PHI,V_PHI_ERR,r_hi_photogeo,r_lo_photogeo,snr,Cat
04472299-3508039,5122.53693571282,9.1995445976067,3.576869761288342,0.0131309717904475,-0.5969616089308722,0.0078533819259744,0.2182760486434956,0.0157671432110512,0.4126750195804062,0.013666018346343,-0.2011271060072477,0.0158654100469052,0.9441461016024132,0.0123601974725699,4.242132792707226,0.1410736391298107,GES_MW_04_05,8948.32113075574,-1125.8921010761846,237.4747089245599,-39.60040067279996,43.90379966857625,1.8399799431398096,164.54477079100116,1.661033936112174,1872.4379,1729.007,52.358,Thick_disc
04482025-3509214,5469.352056137607,5.671939919778287,4.474639708532152,0.0057513372665763,-0.2251042331153532,0.0058160309711132,-0.0152382822314256,0.0113159373683603,0.1549134088599078,0.0137757946424186,-0.1330199252536759,0.0116845739778701,0.8349875020084202,0.0082447690767766,0.616682762154877,0.0059635708131304,GES_MW_04_05,8402.985387052295,-390.774355142604,237.53830895649256,-39.41036121314441,-20.51794915111804,1.3867224323905405,200.78612640858552,1.8167215503426168,655.8047,642.93665,61.8142,Thin_disc
04495930-6025511,5468.158491249612,12.830280268782465,4.439834781316914,0.0170797872778773,-0.1855348476237863,0.0076810951637443,0.0033646535850912,0.0129132759101177,0.1212555221538215,0.0169705529241404,-0.1046855160522217,0.0124502544135885,0.8354292935898642,0.0080157588887795,0.668176742306197,0.0200028641088024,GES_MW_04_05,8150.775441848789,-518.4390566103136,270.1176886354769,-38.21330649227,-10.043660459568375,0.3884340627136332,197.537605153844,2.271004938804142,885.32166,858.7616,53.8639,Thin_disc
04581097-0458046,5231.132619330541,4.195571457787494,4.504163063442156,0.0021050509594637,-0.227649008699732,0.0047909085328436,-0.0129169413907108,0.0089089969421451,0.1843374719049361,0.0110135960943354,-0.0627941392842195,0.0085958583726389,0.7787479910787649,0.0033571724398713,0.4496916398701225,0.0045763040412237,GES_MW_04_05,8550.285600251429,-219.41660291594545,203.96525941798123,-27.38858124673836,-69.05248883732963,2.3938222991479847,234.92058287689,1.0278418303875274,529.4257,519.3692,70.046,Thin_disc
04582189-0503451,4542.322754,2.465160912681078e-07,4.530357,9.471067036434315e-11,-0.2112474458990823,0.0045657216049696,-0.0458153431117164,0.0048324681359643,0.3221265346041758,0.0077272036334146,0.015792168333395,0.0076104921449437,0.759997,7.221386393394836e-11,0.23480860045848,2.2828997459423944e-11,GES_MW_04_05,8499.442475591282,-191.24389470411936,204.0832790381172,-27.393035251239525,16.891428630119293,2.368177649117396,216.11984199383747,1.0112172881694503,467.96893,457.71396,59.4987,Thin_disc
04582381-0505128,5123.455114651776,0.3473202892382759,4.541024354274029,0.0016500171645253,-0.4704941476583579,0.0064798709586893,-0.007115810447006,0.0117096651707634,0.1928802109864177,0.0149500048020724,-0.109258640303016,0.0114974801523577,0.7396789038911258,0.0035764515806081,0.3609731117011157,0.0029592124192828,GES_MW_04_05,8626.27204065765,-262.21238362167963,204.1117185199789,-27.397439291310867,-43.84207590299748,2.41175095438405,239.7513692401484,1.0153139537232632,627.69604,608.7568,53.6091,Thin_disc
04582401-0512033,5082.433370148567,8.033189823145944,3.3491391006429785,0.0140842793106436,-0.5145440455666694,0.0062068293689879,0.1006287329513339,0.0143569160900381,0.2233304493821092,0.0120078463129552,-0.1536688533729862,0.0109306457887013,1.0022938739858196,0.0180993997518727,7.372366426345921,0.2532681429711231,GES_MW_04_05,9879.750974018383,-957.2405542490478,204.22561086744247,-27.450194505331936,15.533444941831045,2.62334056257891,285.7396015334567,3.415478469727129,2245.7734,2048.1323,62.0036,Thick_disc
04584462-0500049,5663.308534626948,6.854280769671733,4.410680875271437,0.0099102634709771,-0.4907867380853998,0.0089517672165972,0.0312294552258274,0.0169335732040342,0.1649813488026346,0.0233716767844781,-0.2290821009553051,0.0242031520303068,0.7792875322473254,0.0025475708886063,0.76689416136391,0.0208094808901155,GES_MW_04_05,8973.770212528889,-453.0244716430671,204.0723858485236,-27.281015675415127,-17.019854745847358,2.487017430300269,272.68004245653697,1.289488492888772,1070.9921,1014.0451,50.8531,Thin_disc
04585410-5200076,5732.367147319997,7.784123295329769,4.382114245918803,0.0128626794605505,-0.6421638242991894,0.0091511279099893,0.1859520440481994,0.0171910622653918,0.4480601922847642,0.0226206671529275,-0.2943403432685438,0.0340149555795818,0.7877991632582775,0.0099709545470903,0.8692116059084897,0.0291113266011631,GES_MW_04_05,8352.83259261973,-724.5164111843649,259.27547009161145,-38.14740514460774,-74.00519874604781,2.154406038788766,277.1784006567692,2.1980215431904773,1236.9331,1180.2671,50.9179,Thick_disc
04590360-0505487,5309.340623947892,3.330844527034364,4.436270721506271,0.0035833266390797,0.097519093345292,0.0050110357925021,-0.0186352674345413,0.0091877559114259,0.0983104817519647,0.010243780864682,-0.0986745624939355,0.0087321776034499,0.8791839038020445,0.0005079432004129,0.6299049887091409,0.0065932975560011,GES_MW_04_05,8749.338593353245,-328.9408250051738,204.2088563264285,-27.256291972327045,-42.86332582228312,2.4767610483478584,235.08884942739817,1.0336930481724131,781.5328,753.7422,64.7207,Thin_disc
